Name,Id,Query
Arts & Entertainment,,
Entertainment Agencies & Bureaus,984,agency
Museums,1785,museum
"Trade Shows, Expositions & Fairs",2699,show
Adult Entertainment,10002,entertainment
Amusement,10004,amusement
Art,10012,art
Clubs,10028,club
Costumes,10033,costume
Dance,10036,dance
Escort Services,10046,escort
Gambling,10051,gaming
General Entertainers,10056,entertainment
Movies,10064,theater
Music,10073,music
Party & Event Planning,10100,event
Theater,10122,theater
Ticket Sales,10129,tickets
Automotive & Vehicles,,
Auto Wreckers,2917,auto
Aircraft,10133,air
Auto Parts & Repair,10142,auto
Auto Care & Accessories,10194,auto
General Auto Services,10215,auto
Boats,10254,boats
Car & Truck Sales,10282,auto
Motorcycles & Motor Scooters,10299,motorcycle
Recreational Vehicles & Campers,10312,rv
Trailers,10328,trailer
Business to Business,,
Environmental & Ecological Services,987,environment
Agriculture & Food,10362,agriculture
B2B Health & Beauty,10678,health
B2B Office Supplies & Equipment,10925,equipment
Business Services,12001,services
Manufacturing & Supplies,13436,supplies
Energy & Mining,13449,mining
Storage & Transportation,13455,transportation
B2B Communications & Advertising,13480,advertising
Security & Facilities,13482,security
B2B Science & Technology,13483,science
B2B Computers & Electronics,13484,computers
B2B Entertainment & Recreation,13485,entertainment
Computers & Technology,,
Computer Service & Repair,26,computer
Computer Dealers,48,computer
Radio Communication Equipment,234,radio
Electronic Equipment & Service,297,electronics
Internet Products & Services,1442,internet
Sound Systems & Equipment,2483,sound
Cable Television & Satellite,10832,cable
Cellular & Wireless,10840,cellular
Computer & Web Publishing,10852,internet
Computer Consulting & System Design,10855,computer
Computer Networking & Cabling,10869,network
Computer Software Services,10879,software
Computer Training,10886,training
Electronic Data Services,10906,data
Telecommunications & Telephone Services,10957,telecom
Televisions & Radios,10984,television
Video Equipment & Supplies,10994,video
Video Games,11010,games
Education ,,
Special Education Schools,2354,school
General Interest Schools,2360,school
Adult Education,11015,school
Colleges & Universities,11017,college
Educational Organizations,11020,education
Education & Teacher Services,11023,education
Elementary Schools,11033,school
Preschool through Kindergarten Schools,11035,school
Parochial & Private Schools,11040,school
Religious & Spiritual Instruction,11043,school
Specialty Instruction,11051,school
Tutoring,11062,tutor
Vocational & Training Schools,11065,school
Medical Education Schools,11593,school
Alternative Schools & Home Schooling,13632,school
Community & Junior Colleges,13636,college
Junior High & Middle Schools,13637,school
Senior High & Preparatory Schools,13638,school
Charter Schools,83163,school
Public Schools,83164,school
Food & Dining,,
Bakeries,11073,bakery
Banquet Facilities,11076,banquet
Beverages,11078,beverage
Catering,11096,catering
Cooking & Barbecue,11099,cooking
Grocery & Food Stores,11151,grocery
Restaurants,11168,restaurant
"Taverns, Bars & Cocktail Lounges",11199,bar
Government & Community ,,
Notaries Public Services,1816,notary
Animal Shelters & Humane Societies,11207,animal
Associations,11210,association
Parks & Recreation,11215,park
